sentence	source_text	true_value	label	suite	variant	source_index	template	action	slots_json
The committee was maintaining the public space at the event.	The committee was maintaining the public space at the event.	order	order		base	0	{agent} was {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the committee"", ""patient"": ""the public space"", ""place"": ""at the event"", ""sample_index"": 0}"
The security team was upholding the community throughout the district.	The security team was upholding the community throughout the district.	order	order		base	1	{agent} was {action} {patient} {place}.	upholding	"{""action"": ""upholding"", ""agent"": ""the security team"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 1}"
The police officer was coordinating the community at the event.	The police officer was coordinating the community at the event.	order	order		base	2	{agent} was {action} {patient} {place}.	coordinating	"{""action"": ""coordinating"", ""agent"": ""the police officer"", ""patient"": ""the community"", ""place"": ""at the event"", ""sample_index"": 2}"
People praised the security team for organising the community throughout the district.	People praised the security team for organising the community throughout the district.	order	order		base	3	People praised {agent} for {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the security team"", ""patient"": ""the community"", ""place"": ""throughout the district"", ""sample_index"": 3}"
People praised thesupervisor for organising the public space across the region.	People praised thesupervisor for organising the public space across the region.	order	order		base	4	People praised {agent} for {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the public space"", ""place"": ""across the region"", ""sample_index"": 4}"
The judge was regulating the neighbourhood during the crisis.	The judge was regulating the neighbourhood during the crisis.	order	order		base	5	{agent} was {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the neighbourhood"", ""place"": ""during the crisis"", ""sample_index"": 5}"
It was clear that the judge spent the day regulating the system.	It was clear that the judge spent the day regulating the system.	order	order		base	6	It was clear that {agent} spent the day {action} {patient}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the system"", ""sample_index"": 6}"
Thesupervisor was maintaining the community during the crisis.	Thesupervisor was maintaining the community during the crisis.	order	order		base	7	{agent} was {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""thesupervisor"", ""patient"": ""the community"", ""place"": ""during the crisis"", ""sample_index"": 7}"
People praised the committee for structuring the community across the region.	People praised the committee for structuring the community across the region.	order	order		base	8	People praised {agent} for {action} {patient} {place}.	structuring	"{""action"": ""structuring"", ""agent"": ""the committee"", ""patient"": ""the community"", ""place"": ""across the region"", ""sample_index"": 8}"
During the crisis, the police officer kept maintaining the institution.	During the crisis, the police officer kept maintaining the institution.	order	order		base	9	During the crisis, {agent} kept {action} {patient}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the police officer"", ""patient"": ""the institution"", ""sample_index"": 9}"
People praised the committee for regulating the institution at the event.	People praised the committee for regulating the institution at the event.	order	order		base	10	People praised {agent} for {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the committee"", ""patient"": ""the institution"", ""place"": ""at the event"", ""sample_index"": 10}"
The judge was maintaining the system in the city.	The judge was maintaining the system in the city.	order	order		base	11	{agent} was {action} {patient} {place}.	maintaining	"{""action"": ""maintaining"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""in the city"", ""sample_index"": 11}"
Thesupervisor was organising the system across the region.	Thesupervisor was organising the system across the region.	order	order		base	12	{agent} was {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the system"", ""place"": ""across the region"", ""sample_index"": 12}"
It was clear that the committee spent the day structuring the system.	It was clear that the committee spent the day structuring the system.	order	order		base	13	It was clear that {agent} spent the day {action} {patient}.	structuring	"{""action"": ""structuring"", ""agent"": ""the committee"", ""patient"": ""the system"", ""sample_index"": 13}"
Everyone noticed the police officer organising the institution at the event.	Everyone noticed the police officer organising the institution at the event.	order	order		base	14	Everyone noticed {agent} {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the police officer"", ""patient"": ""the institution"", ""place"": ""at the event"", ""sample_index"": 14}"
It was clear that thesupervisor spent the day organising the neighbourhood.	It was clear that thesupervisor spent the day organising the neighbourhood.	order	order		base	15	It was clear that {agent} spent the day {action} {patient}.	organising	"{""action"": ""organising"", ""agent"": ""thesupervisor"", ""patient"": ""the neighbourhood"", ""sample_index"": 15}"
People praised the judge for regulating the system in the city.	People praised the judge for regulating the system in the city.	order	order		base	16	People praised {agent} for {action} {patient} {place}.	regulating	"{""action"": ""regulating"", ""agent"": ""the judge"", ""patient"": ""the system"", ""place"": ""in the city"", ""sample_index"": 16}"
The committee was organising the neighbourhood during the crisis.	The committee was organising the neighbourhood during the crisis.	order	order		base	17	{agent} was {action} {patient} {place}.	organising	"{""action"": ""organising"", ""agent"": ""the committee"", ""patient"": ""the neighbourhood"", ""place"": ""during the crisis"", ""sample_index"": 17}"
