sentence,source_text,true_value,label,suite,variant,source_index,template,action,slots_json,nature_score,nature_score_norm,nature_group,error
A caretaker was preserving the woods near the trail.,A caretaker was preserving the woods near the trail.,nature,nature,,base,0,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a caretaker"", ""patient"": ""the woods"", ""place"": ""near the trail"", ""sample_index"": 0}",98.0,0.98,forest,
The community team was restoring the forest after the rain.,The community team was restoring the forest after the rain.,nature,nature,,base,1,{agent} was {action} {patient} {place}.,restoring,"{""action"": ""restoring"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 1}",98.0,0.98,forest,
A ranger was tending the forest near the trail.,A ranger was tending the forest near the trail.,nature,nature,,base,2,{agent} was {action} {patient} {place}.,tending,"{""action"": ""tending"", ""agent"": ""a ranger"", ""patient"": ""the forest"", ""place"": ""near the trail"", ""sample_index"": 2}",93.0,0.93,forest,
People praised the community team for cleaning up the forest after the rain.,People praised the community team for cleaning up the forest after the rain.,nature,nature,,base,3,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""the community team"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 3}",98.0,0.98,forest,
People praised a local student for cleaning up the woods at sunrise.,People praised a local student for cleaning up the woods at sunrise.,nature,nature,,base,4,People praised {agent} for {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the woods"", ""place"": ""at sunrise"", ""sample_index"": 4}",93.0,0.93,forest,
A volunteer was nurturing the grove on the hillside.,A volunteer was nurturing the grove on the hillside.,nature,nature,,base,5,{agent} was {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the grove"", ""place"": ""on the hillside"", ""sample_index"": 5}",93.0,0.93,forest,
It was clear that a volunteer spent the day nurturing the woodland.,It was clear that a volunteer spent the day nurturing the woodland.,nature,nature,,base,6,It was clear that {agent} spent the day {action} {patient}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""sample_index"": 6}",98.0,0.98,forest,
A local student was preserving the forest on the hillside.,A local student was preserving the forest on the hillside.,nature,nature,,base,7,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""on the hillside"", ""sample_index"": 7}",98.0,0.98,forest,
People praised a caretaker for safeguarding the forest at sunrise.,People praised a caretaker for safeguarding the forest at sunrise.,nature,nature,,base,8,People praised {agent} for {action} {patient} {place}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the forest"", ""place"": ""at sunrise"", ""sample_index"": 8}",98.0,0.98,forest,
A local student was healing the forest after the rain.,A local student was healing the forest after the rain.,nature,nature,,base,9,{agent} was {action} {patient} {place}.,healing,"{""action"": ""healing"", ""agent"": ""a local student"", ""patient"": ""the forest"", ""place"": ""after the rain"", ""sample_index"": 9}",98.0,0.98,forest,
People praised a caretaker for nurturing the natural habitat near the trail.,People praised a caretaker for nurturing the natural habitat near the trail.,nature,nature,,base,10,People praised {agent} for {action} {patient} {place}.,nurturing,"{""action"": ""nurturing"", ""agent"": ""a caretaker"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 10}",98.0,0.98,forest,
A volunteer was preserving the woodland by the river.,A volunteer was preserving the woodland by the river.,nature,nature,,base,11,{agent} was {action} {patient} {place}.,preserving,"{""action"": ""preserving"", ""agent"": ""a volunteer"", ""patient"": ""the woodland"", ""place"": ""by the river"", ""sample_index"": 11}",98.0,0.98,forest,
A local student was cleaning up the woodland at sunrise.,A local student was cleaning up the woodland at sunrise.,nature,nature,,base,12,{agent} was {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a local student"", ""patient"": ""the woodland"", ""place"": ""at sunrise"", ""sample_index"": 12}",93.0,0.93,forest,
It was clear that a caretaker spent the day safeguarding the woodland.,It was clear that a caretaker spent the day safeguarding the woodland.,nature,nature,,base,13,It was clear that {agent} spent the day {action} {patient}.,safeguarding,"{""action"": ""safeguarding"", ""agent"": ""a caretaker"", ""patient"": ""the woodland"", ""sample_index"": 13}",98.0,0.98,forest,
Everyone noticed a ranger cleaning up the natural habitat near the trail.,Everyone noticed a ranger cleaning up the natural habitat near the trail.,nature,nature,,base,14,Everyone noticed {agent} {action} {patient} {place}.,cleaning up,"{""action"": ""cleaning up"", ""agent"": ""a ranger"", ""patient"": ""the natural habitat"", ""place"": ""near the trail"", ""sample_index"": 14}",98.0,0.98,forest,
